AgeCourseStart,Quiz1Norm,Quiz2Norm,HW1Norm,MTNorm,TGNorm,AGE_ADMITTED,Reg_Hrs,HS_GPA,MATH,PHYS,Repeated_Grade_ITBP119_CSBP119,ITBP119_CSBP119_max,Repeated_Grade_ITBP219_CSBP219,ESPN,CSBP121,MATH105,CENG205,PHYS105,CENG202,CIT,AcademicStanding,Citizenship,Gender,Sponsor,Resident_in_city
18.18,0.9,0.9,1,0.75,0.8,17,13,0.8836,0.84,0.8478,0,0.8,0,0.9,0.84,0.87,0.87,0.7,0.9,1,1,1,1,0,1
18.49,0.6,0.8,0.5,0.83,0.81,17,13,0.938,0.856,0.846,0,0.77,0,0.8,0.74,0.74,0.9,0.9,0.8,1,1,1,1,0,0
19.15,0.87,0.4,1,0.45,0.7,17,13,0.934,0.844,0.844,0,0.74,0,0.67,0.84,0,0.87,0.6,0.596,1,1,1,1,0,0
18.56,0.73,0.6,0.1,0.75,0.8,17,11,0.851,0.78,0.84,0,0.9,0,0.9,0.74,0.64,0.9,0.67,0.84,1,1,1,1,0,1
20.54,0,0.5,1,0.73,0.78,19,14,0.837,0.77,0.84,0,0.9,0,0.8,0.7,0.79,0.77,0.7,0.77,1,1,1,1,0,1
19.89,0.53,0.6,0.4,0.5,0.7,18,13,0.883,0.76,0.84,0,0.74,0,0.8,0.7,0.74,0.77,0.7,0.74,1,1,1,1,0,1
18.53,0.93,0.6,0.2,0.78,0.79,17,16,0.876,0.71,0.84,0,0.9,0,0.9,0.8,0.84,0.87,0.77,0.87,1,1,1,1,1,1
18.22,0.73,0.67,1,0.93,0.9,17,13,0.922,0.67,0.84,0,0.8,0,0.77,0.87,0.6,0.8,0.6,0.6,1,1,0,1,0,1
18.79,0.57,0.13,1,0.4,0.68,17,13,0.905,0.839,0.839,0,0.67,0,0.77,0.8,0.67,0.7,0.6,0.7,1,0,1,1,0,1
18.53,0.3,0.4,0.95,0.7,0.59,17,13,0.897,0.839,0.839,0,0.7,2,0.8,0.7,0.6,0.7,0.6,0.9,1,1,1,1,0,1
19.15,0.17,0.5,0.5,0.4,0.6,18,13,0.9179,0.74,0.835,0,0.74,0,0.9,0.9,0.6,0.74,0.6,0.74,1,1,1,1,0,0
17.79,0.75,0.98,1,1,0.87,17,16,0.905,0.907,0.833,0,0.84,0,0.84,0.9,0.9,0.74,0.6,0.7,1,1,1,1,0,1
19.93,0.8,1,0.9,0.85,0.84,17,13,0.889,0.823,0.832,0,0.84,0,0.8,0.74,0.9,0.9,0.7,0.74,1,1,1,1,0,1
20.16,0.7,0.7,0.95,0.73,0.83,18,13,0.868,0.903,0.826,0,0.84,0,0.7,0.77,0.84,0.87,0.74,0.6,1,1,1,1,0,1
19.4,0.5,0,0.67,0.48,0.5,17,13,0.933,0.754,0.821,0,0.67,0,0.84,0.67,0.6,0.703333333,0.703333333,0.703333333,1,1,1,1,0,0
18.92,0.53,0.5,0.7,0.75,0.74,17,13,0.861,0.84,0.82,0,0.77,0,0.84,0.9,0.77,0.84,0.74,0.77,1,1,1,1,0,1
18.79,0.47,0.4,0.5,0.4,0.6,17,13,0.918,0.92,0.815,0,0.6,0,0.8,0.7,0.64,0.67,0.6,0.9,1,1,1,1,0,1
